Aly Muldowney;Deuxieme ligne droite;Grenoble
Peter Kimlin;Troisième ligne gauche;Grenoble
Mahamadou Diaby;Troisième ligne droite;Grenoble
Rory Grice;Troisième ligne centre;Grenoble
Charl Mcleod;Demi de mélée;Grenoble
Jonathan Wisniewski;Demi d'ouverture;Grenoble
Maritino Nemani;Trois quart aile gauche;Grenoble
Nigel Hunt;Trois quart centre gauche;Grenoble
Chris Farrell;Trois quart centre droit;Grenoble
Lucas Dupont;Trois quart aile droit;Grenoble
Gio Aplon;Arrière;Grenoble
Fabrice Estebanez;Remplacant1;Grenoble
Mathias Marie;Remplacant2;Grenoble
Ben Hand;Remplacant3;Grenoble
Fabien Alexandre;Remplacant4;Grenoble
Rossouw De Klerk;Remplacant5;Grenoble
Gilles Bosch;Remplacant6;Grenoble
Armand Batlle;Remplacant7;Grenoble
Alexandre Menini;Pilier gauche;LyonOU
Mickaël Ivaldi;Talonneur;LyonOU
Francisco Gomez Kodela;Pilier droit;LyonOU
Taiasina Tuifua;Deuxieme ligne gauche;LyonOU
Thibaut Privat;Deuxieme ligne droite;LyonOU
Julien Puricelli;Troisième ligne gauche;LyonOU
Virgile Bruni;Troisième ligne droite;LyonOU
Carl Fearns;Troisième ligne centre;LyonOU
Frédéric Michalak;Demi de mélée;LyonOU
Mike Harris;Demi d'ouverture;LyonOU
Napolioni Nalaga;Trois quart aile gauche;LyonOU
Hemani Paea;Trois quart centre gauche;LyonOU
Théo Belan;Trois quart centre droit;LyonOU
Toby Arnold;Trois quart aile droit;LyonOU
Delon Armitage;Arrière;LyonOU
Ti'i Paulo;Remplacant1;LyonOU
Albertus Buckle;Remplacant2;LyonOU
Josh Bekhuis;Remplacant3;LyonOU
Deon Fourie;Remplacant4;LyonOU
Agustin Figuerola;Remplacant5;LyonOU
Rudi Wulf;Remplacant6;LyonOU
Jacques-Louis Potgieter;Remplacant7;LyonOU
Yvan Watremez;Pilier gauche;Montpellier
Romain Ruffenach;Talonneur;Montpellier
Jannie Du Plessis;Pilier droit;Montpellier
Antoine Battut;Deuxieme ligne gauche;Montpellier
Paul Willemse;Deuxieme ligne droite;Montpellier
Fulgence Ouedraogo;Troisième ligne gauche;Montpellier
Akapusi Qera;Troisième ligne droite;Montpellier
Pierre Spies;Troisième ligne centre;Montpellier
Tomas O'leary;Demi de mélée;Montpellier
Demetri Catrakilis;Demi d'ouverture;Montpellier
Joffrey Michel;Trois quart aile gauche;Montpellier
François Steyn;Trois quart centre gauche;Montpellier
Joe Tomane;Trois quart centre droit;Montpellier
Timoci Nagusa;Trois quart aile droit;Montpellier
Benjamin Fall;Arrière;Montpellier
Shalva Mamukashvili;Remplacant1;Montpellier
Grégory Fichten;Remplacant2;Montpellier
Antoine Guillamon;Remplacant3;Montpellier
Konstantine Mikautadze;Remplacant4;Montpellier
Nic White;Remplacant5;Montpellier
Nemani Nadolo;Remplacant6;Montpellier
Alexandre Dumoulin;Remplacant7;Montpellier
Jamie Mackintosh;Pilier gauche;Pau
Thomas Bianchin;Talonneur;Pau
Malik Hamadache;Pilier droit;Pau
Fabrice Metz;Deuxieme ligne gauche;Pau
Julien Pierre;Deuxieme ligne droite;Pau
Paddy Butler;Troisième ligne gauche;Pau
Steffon Armitage;Troisième ligne droite;Pau
James Coughlan;Troisième ligne centre;Pau
Julien Tomas;Demi de mélée;Pau
Colin Slade;Demi d'ouverture;Pau
Watisoni Votu;Trois quart aile gauche;Pau
Jale Vatubua;Trois quart centre gauche;Pau
Conrad Smith;Trois quart centre droit;Pau
Mosese Ratuvou;Trois quart aile droit;Pau
Tom Taylor;Arrière;Pau
Chris King;Remplacant1;Pau
Geoffrey Moïse;Remplacant2;Pau
Masalosalo Tutaia;Remplacant3;Pau
Daniel Ramsay;Remplacant4;Pau
Ben Mowen;Remplacant5;Pau
Charly Malié;Remplacant6;Pau
Thierry Lacrampe;Remplacant7;Pau
Eddy Ben Arous;Pilier gauche;Racing 92
Dimitri Szarzewski;Talonneur;Racing 92
Cedate Gomes Sa;Pilier droit;Racing 92
Leone Nakarawa;Deuxieme ligne gauche;Racing 92
François Van Der Merwe;Deuxieme ligne droite;Racing 92
Antonie Claassen;Troisième ligne gauche;Racing 92
Yannick Nyanga;Troisième ligne droite;Racing 92
Chris Masoe;Troisième ligne centre;Racing 92
Maxime Machenaud;Demi de mélée;Racing 92
Dan Carter;Demi d'ouverture;Racing 92
Marc Andreu;Trois quart aile gauche;Racing 92
Albert Vulivuli;Trois quart centre gauche;Racing 92
Henry Chavancy;Trois quart centre droit;Racing 92
Juan Imhoff;Trois quart aile droit;Racing 92
Brice Dulin;Arrière;Racing 92
Khatchik Vartanov;Remplacant1;Racing 92
Viliamu Afatia;Remplacant2;Racing 92
Gerbrandt Grobler;Remplacant3;Racing 92
Etienne Dussartre;Remplacant4;Racing 92
Benjamin Dambielle;Remplacant5;Racing 92
Joe Rokocoko;Remplacant6;Racing 92
Olivier Missoup;Remplacant7;Racing 92
Emmanuel Felsina;Pilier gauche;Stade Français
Rémi Bonfils;Talonneur;Stade Français
Rabah Slimani;Pilier droit;Stade Français
Hugh Pyle;Deuxieme ligne gauche;Stade Français
Paul Gabrillagues;Deuxieme ligne droite;Stade Français
Sylvain Nicolas;Troisième ligne gauche;Stade Français
Raphaël Lakafia;Troisième ligne droite;Stade Français
Sergio Parisse;Troisième ligne centre;Stade Français
Will Genia;Demi de mélée;Stade Français
Morné Steyn;Demi d'ouverture;Stade Français
Jérémy Sinzelle;Trois quart aile gauche;Stade Français
Jonathan Danty;Trois quart centre gauche;Stade Français
Geoffrey Doumayrou;Trois quart centre droit;Stade Français
Waisea Nayacalevu;Trois quart aile droit;Stade Français
Hugo Bonneval;Arrière;Stade Français
Laurent Sempéré;Remplacant1;Stade Français
Zurabi Zhvania;Remplacant2;Stade Français
Pascal Papé;Remplacant3;Stade Français
Jono Ross;Remplacant4;Stade Français
Clément Daguin;Remplacant5;Stade Français
Jules Plisson;Remplacant6;Stade Français
Julien Arias;Remplacant7;Stade Français
Mike Corbel;Pilier gauche;Stade Rochelais
Hikairo Forbes;Talonneur;Stade Rochelais
Uini Atonio;Pilier droit;Stade Rochelais
Jason Eaton;Deuxieme ligne gauche;Stade Rochelais
Jone Qovu;Deuxieme ligne droite;Stade Rochelais
Romain Sazy;Troisième ligne gauche;Stade Rochelais
Kévin Gourdon;Troisième ligne droite;Stade Rochelais
Victor Vito;Troisième ligne centre;Stade Rochelais
Alexi Balés;Demi de mélée;Stade Rochelais
Brock James;Demi d'ouverture;Stade Rochelais
Kini Murimurivalu;Trois quart aile gauche;Stade Rochelais
Levani Botia;Trois quart centre gauche;Stade Rochelais
Pierre Aguillon;Trois quart centre droit;Stade Rochelais
Gabriel Lacroix;Trois quart aile droit;Stade Rochelais
Zack Holmes;Arrière;Stade Rochelais
Jérémie Maurouard;Remplacant1;Stade Rochelais
Dany Priso;Remplacant2;Stade Rochelais
Leandro Cedaro;Remplacant3;Stade Rochelais
Damien Lagrange;Remplacant4;Stade Rochelais
Vincent Pelo;Remplacant5;Stade Rochelais
Steeve Barry;Remplacant6;Stade Rochelais
David Raikuna;Remplacant7;Stade Rochelais
Laurent Delboulbes;Pilier gauche;Toulon
Guilhem Guirado;Talonneur;Toulon
Levan Chilachava;Pilier droit;Toulon
Mamuka Gorgodze;Deuxieme ligne gauche;Toulon
Romain Taofifenua;Deuxieme ligne droite;Toulon
Juan Martin Fernandez Lobbe;Troisième ligne gauche;Toulon
Samu Manoa;Troisième ligne droite;Toulon
Duane Vermeulen;Troisième ligne centre;Toulon
Eric Escande;Demi de mélée;Toulon
Pierre Bernard;Demi d'ouverture;Toulon
Bryan Habana;Trois quart aile gauche;Toulon
Ma'a Nonu;Trois quart centre gauche;Toulon
Mathieu Bastareaud;Trois quart centre droit;Toulon
James O'connor;Trois quart aile droit;Toulon
Leigh Halfpenny;Arrière;Toulon
Jean-Charles Orioli;Remplacant1;Toulon
Florian Fresia;Remplacant2;Toulon
Juandré Kruger;Remplacant3;Toulon
Charles Ollivon;Remplacant4;Toulon
Maxime Mermoz;Remplacant5;Toulon
Vincent Clerc;Remplacant6;Toulon
Sébastien Tillous-Borde;Remplacant7;Toulon
Cyril Baille;Pilier gauche;Toulouse
Christopher Tolofua;Talonneur;Toulouse
Dorian Aldegheri;Pilier droit;Toulouse
Richie Gray;Deuxieme ligne gauche;Toulouse
Iosefa Tekori;Deuxieme ligne droite;Toulouse
Thierry Dusautoir;Troisième ligne gauche;Toulouse
Talalelei Gray;Troisième ligne droite;Toulouse
Patricio Albacete;Troisième ligne centre;Toulouse
Sébastien Bézy;Demi de mélée;Toulouse
Jean-Marc Doussain;Demi d'ouverture;Toulouse
Yoann Huget;Trois quart aile gauche;Toulouse
Gaël Fickou;Trois quart centre gauche;Toulouse
Florian Fritz;Trois quart centre droit;Toulouse
Maks Van Dyk;Trois quart aile droit;Toulouse
Maxime Médard;Arrière;Toulouse
Leonardo Ghiraldini;Remplacant1;Toulouse
Gurthrö Steenkamp;Remplacant2;Toulouse
Piula Faasalele;Remplacant3;Toulouse
Grégory Lamboley;Remplacant4;Toulouse
Carl Axtens;Remplacant5;Toulouse
Luke Mcalister;Remplacant6;Toulouse
Yann David;Remplacant7;Toulouse
